loss: 1.1165:   0%|          | 0/30000 [00:03<?, ?it/s]
loss: 0.0442:   5%|▌         | 1500/30000 [15:49<5:27:41,  1.45it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0486:   5%|▌         | 1500/30000 [15:50<5:27:41,  1.45it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0486:   5%|▌         | 1500/30000 [15:50<5:27:41,  1.45it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0484:   5%|▌         | 1600/30000 [16:52<4:59:00,  1.58it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0472:   5%|▌         | 1600/30000 [16:53<4:59:00,  1.58it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0472:   5%|▌         | 1600/30000 [16:53<4:59:00,  1.58it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0541:   6%|▌         | 1700/30000 [17:56<4:37:34,  1.70it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0311:   6%|▌         | 1700/30000 [17:56<4:37:34,  1.70it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0311:   6%|▌         | 1700/30000 [17:56<4:37:34,  1.70it/s, GPU: 100% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0531:   6%|▌         | 1800/30000 [18:59<6:04:13,  1.29it/s, GPU:  92% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0476:   6%|▌         | 1800/30000 [18:59<6:04:13,  1.29it/s, GPU:  92% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0476:   6%|▌         | 1800/30000 [18:59<6:04:13,  1.29it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0477:   6%|▋         | 1900/30000 [20:02<5:05:09,  1.53it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0443:   6%|▋         | 1900/30000 [20:02<5:05:09,  1.53it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0443:   6%|▋         | 1900/30000 [20:02<5:05:09,  1.53it/s, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0396:   7%|▋         | 2000/30000 [2:37:38<19121:55:05, 2458.53s/it, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0462:   7%|▋         | 2000/30000 [2:37:38<19121:55:05, 2458.53s/it, GPU:  99% | VRAM: 36.4/39.5GB (92.2%)]
loss: 0.0462:   7%|▋         | 2000/30000 [2:37:38<19121:55:05, 2458.53s/it, GPU:  68% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0498:   7%|▋         | 2100/30000 [2:38:40<3:30:23,  2.21it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0450:   7%|▋         | 2100/30000 [2:38:41<3:30:23,  2.21it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0450:   7%|▋         | 2100/30000 [2:38:41<3:30:23,  2.21it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0400:   7%|▋         | 2200/30000 [2:39:44<5:35:18,  1.38it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0448:   7%|▋         | 2200/30000 [2:39:45<5:35:18,  1.38it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0448:   7%|▋         | 2200/30000 [2:39:45<5:35:18,  1.38it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0357:   8%|▊         | 2300/30000 [2:40:47<4:54:12,  1.57it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0405:   8%|▊         | 2300/30000 [2:40:48<4:54:12,  1.57it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0405:   8%|▊         | 2300/30000 [2:40:48<4:54:12,  1.57it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0412:   8%|▊         | 2400/30000 [2:41:50<4:30:00,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0148:   8%|▊         | 2400/30000 [2:41:50<4:30:00,  1.70it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0148:   8%|▊         | 2400/30000 [2:41:50<4:30:00,  1.70it/s, GPU:  95% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0402:   8%|▊         | 2500/30000 [2:42:53<5:41:12,  1.34it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0384:   8%|▊         | 2500/30000 [2:42:54<5:41:12,  1.34it/s, GPU:  99% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0384:   8%|▊         | 2500/30000 [2:42:54<5:41:12,  1.34it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0444:   9%|▊         | 2600/30000 [2:43:56<4:58:02,  1.53it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0385:   9%|▊         | 2600/30000 [2:43:57<4:58:02,  1.53it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0385:   9%|▊         | 2600/30000 [2:43:57<4:58:02,  1.53it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0498:   9%|▉         | 2700/30000 [2:44:59<4:36:38,  1.64it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0493:   9%|▉         | 2700/30000 [2:45:00<4:36:38,  1.64it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
loss: 0.0493:   9%|▉         | 2700/30000 [2:45:00<4:36:38,  1.64it/s, GPU: 100% | VRAM: 37.7/39.5GB (95.6%)]
